latitude,longitude,,,,,
13.578,100.8555,,,,,
13.578,100.8555,,,,,
13.578,100.8556,,,,,
13.578,100.8556,,,,,
13.578,100.8556,,,,,
13.578,100.8556,,,,,
13.578,100.8557,,,,,
13.578,100.8557,,,,,
13.578,100.8557,,,,,
13.578,100.8558,,,,,
13.578,100.8558,,,,,
13.578,100.8558,,,,,
13.578,100.8558,,,,,
13.578,100.8559,,,,,
13.578,100.8559,,,,,
13.5779,100.8559,,,,,
13.5779,100.8559,,,,,
13.5779,100.856,,,,,
13.5779,100.856,,,,,
13.5779,100.856,,,,,
13.5779,100.856,,,,,
13.5779,100.856,,,,,
13.5779,100.856,,,,,
13.5779,100.8561,,,,,
13.5779,100.8561,,,,,
13.5779,100.8561,,,,,
13.5779,100.8561,,,,,
13.5779,100.8561,,,,,
13.5779,100.8561,,,,,
13.5779,100.8562,,,,,
13.5779,100.8562,,,,,
13.5779,100.8562,,,,,
13.5779,100.8562,,,,,
13.5779,100.8562,,,,,
13.5779,100.8562,,,,,
13.5779,100.8562,,,,,
13.5779,100.8563,,,,,
13.5779,100.8563,,,,,
13.5779,100.8563,,,,,
13.5779,100.8563,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8564,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
13.5779,100.8565,,,,,
